province,year,health_index,living_cost_mean,living_cost_stddev,polution,crime_rate,purchasing_power
Sulawesi Selatan,2021,89.08,107.1,1.26,73.23,314,8412.76
Sulawesi Selatan,2022,85.52,112.53,2.03,74.17,166,10882.93
Sulawesi Tengah,2020,81.93,106.72,0.37,77.53,179,2571.51
Sulawesi Tengah,2021,82.23,108.42,0.24,77.78,270,2692.8
Sulawesi Tengah,2022,78.81,114.38,0.89,78.66,169,3288.93
Sulawesi Tenggara,2020,85.97,104.35,0,72.82,80,2604.81
Sulawesi Tenggara,2021,85.69,107.03,0,74.97,144,2477.37
Sulawesi Tenggara,2022,84.74,112.55,0,76.88,91,3015.97
Sulawesi Utara,2020,83.71,105.22,0.07,70.69,252,2490.45
Sulawesi Utara,2021,84.58,107.66,0.54,72.38,364,2572.15
Sulawesi Utara,2022,86.48,111.62,1.15,72.37,249,2858.56
Sumatera Barat,2020,82.69,103.78,0.04,72.79,150,5232.3
Sumatera Barat,2021,82.09,105.62,0.11,73.68,138,4921.69
Sumatera Barat,2022,88.77,111.76,0.1,74.98,103,5349.69
Sumatera Selatan,2020,75.04,103.99,0.04,69.71,147,8245.26
Sumatera Selatan,2021,75.28,105.67,0.22,69.7,134,8412.76
Sumatera Selatan,2022,75.24,110.68,0.06,72.12,153,9172.48
Sumatera Utara,2020,67.3,103.84,0.39,69.9,231,13072.79
Sumatera Utara,2021,68.22,106.61,1.02,71.15,292,12777.67
Sumatera Utara,2022,73.92,111.88,1.38,74.11,250,14636.05
